ID,Breed,Breed_Size,Sex,Age,Weight_lbs,SpayNeuter_Status,Daily_Activity_Level,Diet,Food_Brand,Daily_Walk_Distance_miles,Other_Pets_in_Household,Medications,Seizures,Hours_of_Sleep,Play_Time_hrs,Owner_Activity_Level,Annual_Vet_Visits,Average_Temperature_F,Synthetic,Healthy
4439,Siberian_Husky,Medium,Female,2.0,35.0,Neutered,Moderate,Special_diet,Hills_Science,3.0,No,Yes,No,11.0,1.0,,2.0,71.0,Yes,Yes
4440,Siberian_Husky,,Male,1.0,69.0,Spayed,Moderate,Wet_food,Hills_Science,3.0,No,No,No,9.0,2.0,,3.0,100.0,Yes,Yes
4441,Golden_Retriever,Large,Female,3.0,45.0,,,Hard_food,Royal_Canin,4.0,No,Yes,No,12.0,3.0,,1.0,63.0,Yes,No
4442,German_Shepherd,,Female,3.0,50.0,,Active,Wet_food,Pedigree,1.0,Yes,Yes,No,13.0,2.0,Low,3.0,61.0,Yes,Yes
4443,Golden_Retriever,Large,Male,12.0,52.0,Neutered,,Special_diet,Nutro,2.0,Yes,,No,10.0,1.0,Very_Active,1.0,64.0,Yes,Yes
4444,Poodle,Small,Male,8.0,26.0,Neutered,Very_Active,Hard_food,Royal_Canin,4.0,No,No,No,12.0,0.0,Active,1.0,68.0,Yes,Yes
4445,Boxer,Medium,Male,6.0,69.0,Spayed,Moderate,Home_cooked,Special,2.0,Yes,Yes,No,12.0,2.0,Low,0.0,59.0,,Yes
4446,Doberman,Large,Female,13.0,85.0,Spayed,Low,Hard_food,Wellness,1.0,Yes,Yes,No,11.0,0.0,Low,1.0,64.0,Yes,No
4447,Siberian_Husky,Medium,Female,10.0,27.0,,Very_Active,Home_cooked,Special,4.0,No,Yes,No,10.0,1.0,Low,1.0,69.0,Yes,Yes
4448,Golden_Retriever,Large,Male,9.0,53.0,Spayed,Moderate,Home_cooked,Special,1.0,Yes,Yes,No,12.0,1.0,,0.0,72.0,Yes,No
4449,Dachshund,Small,Female,11.0,58.0,Spayed,Very_Active,Special_diet,Blue_Buffalo,1.0,Yes,No,No,11.0,2.0,,2.0,74.0,Yes,Yes
4450,Siberian_Husky,Medium,Male,5.0,58.0,,Active,Home_cooked,Special,5.0,No,No,No,8.0,2.0,Active,1.0,48.0,Yes,Yes
4451,Yorkshire_Terrier,Small,Female,10.0,42.0,Spayed,Very_Active,Special_diet,Wellness,3.0,No,Yes,No,12.0,1.0,Low,0.0,81.0,Yes,Yes
4452,Beagle,Small,Male,11.0,39.0,Spayed,Moderate,Wet_food,Purina,4.0,,Yes,No,10.0,3.0,Very_Active,1.0,62.0,Yes,No
4453,Chihuahua,Small,Male,13.0,24.0,Neutered,,Wet_food,Hills_Science,0.0,No,No,No,10.0,1.0,Active,0.0,63.0,Yes,No
4454,Chihuahua,Small,Female,8.0,65.0,,Moderate,Hard_food,Pedigree,0.0,Yes,Yes,No,11.0,1.0,Low,0.0,59.0,Yes,No
4455,Doberman,Large,Female,10.0,57.0,,Low,Special_diet,Hills_Science,2.0,No,Yes,No,11.0,1.0,Active,0.0,,Yes,No
4456,Australian_Shepherd,Medium,Female,11.0,66.0,,Moderate,Hard_food,Pedigree,4.0,Yes,Yes,No,12.0,2.0,Very_Active,2.0,69.0,Yes,No
4457,Doberman,Large,Female,5.0,59.0,Neutered,Very_Active,Hard_food,Purina,1.0,No,No,No,9.0,3.0,Very_Active,1.0,53.0,Yes,Yes
4458,Dachshund,Small,Male,11.0,44.0,,,,Wellness,5.0,Yes,Yes,No,,2.0,,0.0,48.0,Yes,No
4459,Boxer,Medium,Male,12.0,46.0,Neutered,Very_Active,Hard_food,Royal_Canin,3.0,Yes,No,No,10.0,1.0,Very_Active,2.0,65.0,Yes,Yes
4460,Boxer,Medium,Male,5.0,,Spayed,Moderate,Wet_food,Nutro,2.0,No,No,No,11.0,1.0,Very_Active,3.0,49.0,Yes,Yes
4461,Poodle,Small,Female,7.0,43.0,Spayed,Moderate,Hard_food,Blue_Buffalo,2.0,No,Yes,No,11.0,1.0,,1.0,44.0,Yes,Yes
4462,Boxer,Medium,Female,1.0,58.0,Neutered,Low,Special_diet,Nutro,3.0,No,Yes,No,11.0,2.0,Low,,95.0,Yes,Yes
4463,Bulldog,Medium,Female,13.0,42.0,Spayed,Low,Special_diet,Hills_Science,3.0,Yes,Yes,,11.0,0.0,Very_Active,2.0,58.0,Yes,Yes
4464,Australian_Shepherd,Medium,Female,8.0,52.0,,Low,Wet_food,Hills_Science,0.0,Yes,No,No,12.0,2.0,Low,1.0,65.0,,Yes
4465,German_Shepherd,Large,Female,3.0,52.0,,Very_Active,Special_diet,Royal_Canin,3.0,Yes,No,No,11.0,0.0,,3.0,66.0,Yes,Yes
4466,Labrador_Retriever,Large,Male,1.0,73.0,,Low,Special_diet,Pedigree,3.0,No,Yes,No,11.0,3.0,Active,1.0,60.0,Yes,No
4467,Poodle,Small,Male,12.0,97.0,Neutered,Active,Home_cooked,Special,2.0,Yes,Yes,No,11.0,2.0,Very_Active,2.0,53.0,Yes,Yes
4468,Rottweiler,Large,Male,2.0,58.0,Spayed,Low,Special_diet,Purina,1.0,No,Yes,No,13.0,2.0,Active,0.0,66.0,Yes,Yes
4469,Yorkshire_Terrier,Small,Male,1.0,58.0,Neutered,,Special_diet,Iams,3.0,Yes,No,Yes,12.0,2.0,Very_Active,2.0,58.0,Yes,Yes
4470,Boxer,Medium,Male,13.0,49.0,,Moderate,Wet_food,Hills_Science,4.0,No,Yes,No,14.0,0.0,Low,2.0,49.0,Yes,No
4471,Chihuahua,,Male,12.0,40.0,Neutered,Very_Active,Hard_food,Nutro,3.0,Yes,No,No,10.0,1.0,Moderate,3.0,70.0,Yes,Yes
4472,Boxer,Medium,Male,3.0,,,,Home_cooked,Special,3.0,No,No,No,11.0,0.0,Very_Active,1.0,75.0,Yes,Yes
4473,Chihuahua,Small,Male,10.0,31.0,Neutered,Active,Home_cooked,Special,3.0,Yes,No,No,10.0,2.0,,2.0,56.0,Yes,Yes
4474,Australian_Shepherd,Medium,Male,6.0,44.0,,Moderate,Home_cooked,Special,4.0,Yes,,No,11.0,1.0,,0.0,71.0,Yes,No
4475,Rottweiler,Large,Female,3.0,66.0,Spayed,Moderate,Wet_food,Pedigree,0.0,Yes,No,No,10.0,,,1.0,48.0,Yes,Yes
4476,Yorkshire_Terrier,Small,Male,4.0,71.0,Spayed,Active,Home_cooked,Special,5.0,Yes,Yes,Yes,9.0,2.0,Active,0.0,69.0,,Yes
4477,Beagle,Small,Female,8.0,,Neutered,Moderate,Hard_food,Wellness,3.0,Yes,,,11.0,,Low,0.0,54.0,Yes,No
4478,Siberian_Husky,Medium,Male,2.0,44.0,Neutered,Active,Hard_food,Royal_Canin,4.0,Yes,Yes,No,13.0,,Low,1.0,,Yes,Yes
4479,Siberian_Husky,Medium,Female,3.0,64.0,,Moderate,Special_diet,Wellness,4.0,Yes,Yes,No,14.0,0.0,Very_Active,3.0,86.0,Yes,Yes
4480,,Small,Female,9.0,82.0,Spayed,Moderate,Hard_food,Royal_Canin,2.0,Yes,No,No,10.0,1.0,,2.0,70.0,Yes,No
4481,Chihuahua,Small,Male,8.0,55.0,Neutered,Active,Home_cooked,Special,2.0,No,No,No,11.0,1.0,Active,3.0,73.0,Yes,Yes
4482,Australian_Shepherd,Medium,Female,7.0,40.0,Spayed,Very_Active,Wet_food,Purina,2.0,Yes,No,Yes,14.0,1.0,,2.0,79.0,Yes,Yes
4483,Dachshund,Small,Female,7.0,41.0,Neutered,Moderate,Hard_food,Royal_Canin,,Yes,No,No,12.0,1.0,Moderate,2.0,58.0,Yes,Yes
4484,Australian_Shepherd,Medium,Male,5.0,23.0,,Low,Special_diet,Pedigree,4.0,No,Yes,No,10.0,0.0,Moderate,2.0,61.0,Yes,No
4485,Beagle,Small,Female,7.0,25.0,Neutered,Low,Special_diet,Pedigree,1.0,Yes,Yes,No,10.0,1.0,Very_Active,1.0,76.0,Yes,Yes
4486,Bulldog,Medium,Female,6.0,43.0,Spayed,Low,Wet_food,Hills_Science,1.0,No,Yes,No,12.0,0.0,Active,1.0,36.0,Yes,Yes
4487,Golden_Retriever,Large,Female,9.0,73.0,,Moderate,Hard_food,Pedigree,3.0,Yes,No,No,10.0,1.0,Moderate,2.0,41.0,Yes,No
4488,Poodle,Small,Male,10.0,47.0,Neutered,Active,Wet_food,Blue_Buffalo,3.0,No,No,No,13.0,1.0,Very_Active,1.0,79.0,Yes,Yes
4489,German_Shepherd,Large,Male,10.0,81.0,Neutered,Active,Hard_food,Nutro,0.0,Yes,Yes,No,13.0,2.0,Active,2.0,71.0,Yes,No
4490,Dachshund,Small,Male,2.0,52.0,,,Home_cooked,Special,1.0,No,,No,12.0,0.0,Active,1.0,42.0,Yes,Yes
4491,Rottweiler,Large,Female,2.0,66.0,Spayed,Low,Wet_food,Hills_Science,3.0,No,No,No,11.0,2.0,Moderate,1.0,88.0,Yes,Yes
4492,Bulldog,Medium,Male,3.0,33.0,Neutered,,Special_diet,Purina,0.0,No,No,No,11.0,0.0,Very_Active,1.0,54.0,,Yes
4493,Australian_Shepherd,Medium,Male,8.0,,Neutered,Very_Active,Hard_food,Pedigree,2.0,Yes,,No,8.0,1.0,Very_Active,,73.0,Yes,Yes
4494,Rottweiler,Large,Female,2.0,98.0,Spayed,Active,Hard_food,Royal_Canin,2.0,Yes,Yes,No,10.0,3.0,Very_Active,2.0,65.0,Yes,Yes
4495,Yorkshire_Terrier,Small,Male,9.0,63.0,Spayed,Moderate,Hard_food,Blue_Buffalo,5.0,No,No,No,11.0,2.0,Very_Active,0.0,49.0,Yes,No
4496,Labrador_Retriever,Large,Male,1.0,49.0,Neutered,Very_Active,Home_cooked,Special,0.0,No,No,No,13.0,0.0,,4.0,82.0,Yes,Yes
4497,Beagle,Small,Male,1.0,31.0,Neutered,Very_Active,Home_cooked,Special,4.0,Yes,No,,10.0,1.0,Active,3.0,71.0,Yes,Yes
4498,Rottweiler,Large,Male,1.0,,,Moderate,Wet_food,Royal_Canin,5.0,Yes,No,,12.0,0.0,Active,4.0,69.0,Yes,No
4499,Australian_Shepherd,Medium,,13.0,55.0,Spayed,Moderate,Special_diet,Blue_Buffalo,3.0,Yes,,No,10.0,2.0,Moderate,0.0,57.0,Yes,No
4500,Labrador_Retriever,Large,Female,13.0,44.0,Spayed,Moderate,Wet_food,Iams,1.0,Yes,Yes,No,10.0,4.0,Active,1.0,82.0,Yes,No
4501,Boxer,Medium,Female,6.0,37.0,,Active,Wet_food,Pedigree,3.0,Yes,No,No,12.0,2.0,,0.0,61.0,Yes,Yes
4502,Bulldog,Medium,Male,12.0,42.0,,Low,Special_diet,Blue_Buffalo,0.0,Yes,Yes,No,12.0,1.0,,3.0,77.0,Yes,
4503,Yorkshire_Terrier,Small,Male,7.0,55.0,,,Hard_food,Wellness,1.0,No,No,No,9.0,2.0,Low,2.0,46.0,Yes,Yes
4504,Boxer,Medium,Male,6.0,31.0,Spayed,Moderate,Hard_food,Royal_Canin,4.0,No,Yes,No,11.0,0.0,Very_Active,0.0,39.0,Yes,No
4505,Dachshund,Small,Male,7.0,25.0,Neutered,Very_Active,Special_diet,Royal_Canin,1.0,Yes,Yes,No,10.0,2.0,,1.0,50.0,Yes,Yes
4506,Labrador_Retriever,Large,Male,6.0,71.0,Spayed,Active,Special_diet,Purina,5.0,No,Yes,No,10.0,,Very_Active,1.0,62.0,Yes,Yes
4507,Boxer,Medium,Female,11.0,33.0,Spayed,,Special_diet,Hills_Science,3.0,Yes,,Yes,10.0,2.0,Very_Active,0.0,53.0,Yes,
4508,Beagle,Small,Male,5.0,68.0,Spayed,Very_Active,Wet_food,Nutro,1.0,No,No,No,10.0,2.0,Very_Active,4.0,45.0,Yes,Yes
4509,Chihuahua,Small,Male,1.0,62.0,,Active,Special_diet,Wellness,2.0,Yes,Yes,No,12.0,4.0,Moderate,2.0,72.0,Yes,Yes
4510,Boxer,Medium,Male,11.0,20.0,,,Special_diet,Wellness,2.0,Yes,No,No,11.0,,Low,1.0,80.0,Yes,No
4511,Labrador_Retriever,Large,Female,11.0,69.0,Spayed,Moderate,Home_cooked,Special,3.0,No,Yes,Yes,11.0,3.0,Very_Active,2.0,,Yes,No
4512,Rottweiler,Large,Male,12.0,41.0,Neutered,Low,Wet_food,Wellness,4.0,No,Yes,No,12.0,1.0,Very_Active,,61.0,Yes,No
4513,Great_Dane,Large,Female,2.0,62.0,Neutered,Moderate,Wet_food,Hills_Science,5.0,Yes,Yes,No,14.0,2.0,,1.0,72.0,Yes,Yes
4514,Dachshund,Small,Male,10.0,45.0,Spayed,Active,Hard_food,Blue_Buffalo,4.0,No,No,No,11.0,4.0,Active,,62.0,Yes,Yes
4515,Rottweiler,Large,Male,11.0,47.0,Neutered,,Special_diet,Blue_Buffalo,3.0,No,Yes,No,10.0,2.0,Moderate,2.0,51.0,Yes,Yes
4516,German_Shepherd,Large,Male,9.0,33.0,Neutered,,Wet_food,Blue_Buffalo,0.0,Yes,No,No,10.0,1.0,Very_Active,0.0,78.0,Yes,No
4517,Bulldog,Medium,Female,12.0,55.0,,Low,Special_diet,Iams,2.0,,Yes,No,10.0,2.0,Very_Active,1.0,92.0,Yes,No
4518,Yorkshire_Terrier,Small,Male,8.0,33.0,,Low,Wet_food,Pedigree,2.0,Yes,No,No,10.0,0.0,Low,1.0,67.0,Yes,Yes
4519,Chihuahua,Small,Male,,59.0,Spayed,Very_Active,Wet_food,Wellness,3.0,No,Yes,No,8.0,1.0,Low,2.0,56.0,Yes,Yes
4520,Golden_Retriever,Large,Male,5.0,83.0,Spayed,,Wet_food,Nutro,3.0,Yes,Yes,No,10.0,3.0,,0.0,96.0,Yes,No
4521,Yorkshire_Terrier,Small,Female,8.0,40.0,Spayed,Very_Active,,Nutro,0.0,No,No,No,10.0,3.0,Very_Active,2.0,50.0,Yes,Yes
4522,Chihuahua,Small,Male,9.0,38.0,Spayed,Low,Hard_food,Iams,1.0,Yes,Yes,No,12.0,,,1.0,55.0,Yes,No
4523,Boxer,Medium,Male,10.0,55.0,,Moderate,Wet_food,Hills_Science,3.0,No,No,No,12.0,0.0,Active,3.0,65.0,Yes,No
4524,Australian_Shepherd,Medium,Female,1.0,43.0,Spayed,Very_Active,Wet_food,Purina,0.0,No,No,No,8.0,1.0,Low,1.0,90.0,,Yes
4525,Chihuahua,Small,Female,2.0,58.0,Neutered,,Home_cooked,Special,3.0,No,No,No,10.0,1.0,Moderate,3.0,85.0,Yes,Yes
4526,Yorkshire_Terrier,Small,Male,11.0,42.0,,Low,Hard_food,Nutro,1.0,Yes,No,No,11.0,0.0,,0.0,50.0,Yes,No
4527,Dachshund,Small,Male,4.0,51.0,Neutered,Active,Wet_food,Iams,2.0,Yes,Yes,No,10.0,2.0,Low,4.0,51.0,Yes,Yes
4528,Chihuahua,Small,Female,6.0,54.0,Neutered,Very_Active,Hard_food,Blue_Buffalo,1.0,No,Yes,No,10.0,0.0,Very_Active,4.0,95.0,Yes,Yes
4529,Chihuahua,Small,Male,3.0,75.0,Spayed,Active,Special_diet,Pedigree,1.0,Yes,Yes,No,12.0,2.0,Low,0.0,79.0,Yes,Yes
4530,Yorkshire_Terrier,Small,Female,3.0,74.0,,Moderate,Home_cooked,Special,4.0,No,No,No,13.0,2.0,Low,3.0,69.0,Yes,Yes
4531,Rottweiler,Large,Female,4.0,60.0,Neutered,Moderate,Home_cooked,Special,3.0,No,Yes,No,12.0,1.0,Active,1.0,48.0,Yes,Yes
4532,Siberian_Husky,Medium,Male,5.0,42.0,Spayed,,Home_cooked,Special,1.0,No,No,No,9.0,2.0,Active,1.0,67.0,Yes,Yes
4533,Bulldog,Medium,Female,10.0,37.0,,Moderate,Special_diet,Royal_Canin,1.0,Yes,Yes,No,9.0,1.0,Low,0.0,51.0,Yes,No
4534,Poodle,Small,Male,11.0,67.0,,Moderate,Special_diet,Wellness,4.0,Yes,No,No,13.0,3.0,,0.0,50.0,Yes,No
4535,Australian_Shepherd,Medium,Female,1.0,76.0,Spayed,Very_Active,Special_diet,Nutro,1.0,No,No,No,11.0,1.0,Active,1.0,86.0,Yes,Yes
4536,Yorkshire_Terrier,Small,Female,6.0,53.0,Neutered,Low,Special_diet,Blue_Buffalo,2.0,No,Yes,No,12.0,1.0,Very_Active,2.0,59.0,Yes,Yes
4537,Dachshund,Small,Male,1.0,39.0,Neutered,,Hard_food,Purina,3.0,Yes,No,Yes,11.0,0.0,Active,1.0,54.0,Yes,No
4538,Dachshund,Small,Female,5.0,58.0,Spayed,Moderate,Home_cooked,Special,1.0,Yes,No,No,10.0,2.0,Very_Active,1.0,76.0,Yes,Yes
4539,Bulldog,Medium,Male,8.0,44.0,Neutered,Low,Wet_food,Blue_Buffalo,4.0,Yes,Yes,No,12.0,2.0,Active,1.0,84.0,Yes,Yes
4540,,Large,Female,6.0,47.0,,Low,Hard_food,Hills_Science,5.0,No,Yes,No,10.0,2.0,Very_Active,0.0,83.0,Yes,No
4541,Doberman,Large,Female,12.0,53.0,,,Home_cooked,Special,2.0,Yes,No,No,11.0,2.0,Low,0.0,49.0,Yes,No
4542,Golden_Retriever,Large,Female,,76.0,Spayed,Very_Active,Wet_food,Pedigree,4.0,No,Yes,No,12.0,2.0,Active,0.0,72.0,Yes,Yes
4543,Beagle,Small,Female,1.0,55.0,,,Special_diet,Iams,1.0,No,No,No,11.0,3.0,Moderate,1.0,69.0,Yes,Yes
4544,Chihuahua,Small,Female,13.0,52.0,,Active,Hard_food,Pedigree,6.0,Yes,No,No,8.0,1.0,Very_Active,0.0,75.0,Yes,No
4545,Boxer,Medium,Male,10.0,69.0,Neutered,Low,Special_diet,Purina,0.0,No,No,No,12.0,1.0,Low,2.0,55.0,Yes,
4546,Dachshund,Small,Female,5.0,40.0,Spayed,,Home_cooked,Special,2.0,No,No,No,11.0,2.0,,1.0,74.0,Yes,Yes
4547,German_Shepherd,Large,Female,7.0,49.0,Spayed,Moderate,Home_cooked,Special,5.0,No,Yes,No,10.0,1.0,Moderate,3.0,42.0,Yes,Yes
4548,Bulldog,Medium,Male,8.0,34.0,Spayed,,Hard_food,Purina,3.0,No,Yes,No,10.0,0.0,,1.0,,Yes,Yes
4549,German_Shepherd,Large,Male,2.0,45.0,Spayed,Active,Home_cooked,Special,3.0,Yes,No,No,12.0,3.0,Moderate,1.0,77.0,Yes,Yes
4550,Poodle,Small,Female,4.0,32.0,,Low,Hard_food,Wellness,3.0,Yes,No,No,13.0,1.0,,3.0,86.0,Yes,Yes
4551,Boxer,Medium,Male,5.0,47.0,,,Hard_food,Blue_Buffalo,2.0,Yes,No,No,10.0,3.0,Moderate,1.0,80.0,Yes,Yes
4552,German_Shepherd,Large,Male,1.0,64.0,,Active,Wet_food,Iams,1.0,No,No,No,10.0,3.0,Moderate,1.0,76.0,Yes,Yes
4553,Rottweiler,Large,Female,11.0,75.0,Spayed,Very_Active,Wet_food,Royal_Canin,1.0,No,No,No,14.0,1.0,,1.0,54.0,Yes,Yes
4554,Bulldog,Medium,Female,6.0,67.0,,Moderate,Hard_food,Iams,5.0,No,No,No,10.0,1.0,Very_Active,3.0,48.0,Yes,Yes
4555,Great_Dane,Large,Female,13.0,45.0,Neutered,Active,Wet_food,Purina,0.0,No,Yes,No,13.0,0.0,Active,,43.0,Yes,
4556,Golden_Retriever,Large,Male,4.0,56.0,Neutered,Active,Special_diet,,4.0,No,Yes,No,13.0,2.0,Very_Active,1.0,65.0,Yes,Yes
4557,German_Shepherd,Large,Male,1.0,48.0,Neutered,,Special_diet,,5.0,No,,No,12.0,2.0,Very_Active,1.0,75.0,Yes,Yes
4558,Poodle,Small,Female,8.0,78.0,Neutered,,Hard_food,Nutro,2.0,No,No,No,13.0,2.0,Moderate,0.0,56.0,Yes,Yes
4559,Great_Dane,Large,Female,4.0,57.0,Neutered,Low,Special_diet,Pedigree,1.0,Yes,Yes,No,12.0,0.0,Active,0.0,60.0,Yes,Yes
4560,Poodle,Small,Male,10.0,45.0,Neutered,Very_Active,Special_diet,Royal_Canin,2.0,Yes,No,No,11.0,2.0,,1.0,69.0,Yes,Yes
4561,Rottweiler,Large,Male,9.0,58.0,,Active,Special_diet,Blue_Buffalo,0.0,Yes,No,No,10.0,2.0,Moderate,1.0,43.0,Yes,Yes
4562,German_Shepherd,Large,Male,9.0,50.0,Neutered,,Home_cooked,Special,2.0,Yes,No,No,12.0,2.0,Moderate,3.0,62.0,Yes,Yes
4563,Bulldog,Medium,Female,2.0,67.0,,Low,Home_cooked,Special,4.0,No,Yes,No,11.0,0.0,Low,0.0,48.0,Yes,No
4564,Siberian_Husky,Medium,Male,12.0,58.0,,Moderate,Hard_food,Royal_Canin,2.0,Yes,Yes,No,,2.0,Active,1.0,56.0,Yes,No
4565,Doberman,Large,,11.0,42.0,,,Home_cooked,Special,4.0,No,Yes,No,10.0,2.0,Very_Active,2.0,97.0,,No
4566,Golden_Retriever,Large,Female,6.0,53.0,Neutered,Low,Hard_food,Pedigree,3.0,No,No,No,10.0,1.0,Very_Active,1.0,45.0,Yes,Yes
4567,Bulldog,Medium,Female,4.0,66.0,,Low,Special_diet,Hills_Science,4.0,No,Yes,No,10.0,2.0,,0.0,60.0,Yes,No
4568,Boxer,Medium,Male,2.0,49.0,Spayed,Active,Home_cooked,,0.0,No,No,No,13.0,2.0,Moderate,,62.0,Yes,
4569,German_Shepherd,Large,Male,11.0,50.0,Spayed,,Special_diet,Pedigree,1.0,Yes,No,No,10.0,1.0,Active,1.0,51.0,Yes,Yes
4570,Siberian_Husky,Medium,Female,2.0,54.0,Neutered,Active,Wet_food,Blue_Buffalo,4.0,Yes,No,No,13.0,3.0,Low,0.0,48.0,Yes,
4571,Bulldog,Medium,Female,7.0,55.0,Neutered,Moderate,Home_cooked,Special,0.0,Yes,Yes,No,10.0,,Very_Active,0.0,61.0,Yes,Yes
4572,Golden_Retriever,Large,Male,13.0,74.0,,Moderate,Hard_food,Hills_Science,2.0,No,Yes,No,12.0,3.0,Active,3.0,48.0,Yes,No
4573,Poodle,Small,Female,10.0,54.0,Neutered,Low,Special_diet,Purina,3.0,No,No,No,9.0,2.0,Moderate,4.0,77.0,Yes,Yes
4574,Yorkshire_Terrier,Small,Female,2.0,42.0,Spayed,,Special_diet,Hills_Science,4.0,Yes,Yes,No,11.0,2.0,Active,2.0,54.0,Yes,Yes
4575,Chihuahua,Small,Female,3.0,45.0,Spayed,Moderate,Special_diet,Pedigree,5.0,No,No,No,13.0,1.0,Low,2.0,71.0,Yes,Yes
4576,Chihuahua,Small,Female,8.0,23.0,Neutered,,Home_cooked,Special,5.0,Yes,No,No,12.0,1.0,Low,2.0,66.0,Yes,Yes
4577,Australian_Shepherd,Medium,Female,4.0,56.0,Neutered,Moderate,Wet_food,Hills_Science,5.0,Yes,No,Yes,,1.0,Low,1.0,73.0,Yes,Yes
4578,Australian_Shepherd,Medium,Female,13.0,51.0,,Very_Active,Home_cooked,Special,0.0,No,No,No,12.0,2.0,Active,0.0,40.0,Yes,Yes
4579,Poodle,Small,Male,1.0,73.0,Spayed,,Wet_food,Blue_Buffalo,4.0,Yes,No,No,10.0,0.0,Moderate,2.0,73.0,,Yes
4580,Yorkshire_Terrier,Small,Male,2.0,78.0,Neutered,Active,Home_cooked,Special,4.0,Yes,No,No,11.0,3.0,Very_Active,2.0,71.0,Yes,Yes
4581,Beagle,Small,Male,8.0,36.0,Spayed,Low,Wet_food,Pedigree,2.0,No,No,No,11.0,0.0,,2.0,49.0,Yes,Yes
4582,Doberman,Large,Male,9.0,68.0,Spayed,Active,Wet_food,Hills_Science,2.0,Yes,No,No,9.0,2.0,Active,1.0,74.0,Yes,Yes
4583,Australian_Shepherd,Medium,Male,12.0,65.0,Neutered,,Special_diet,Wellness,1.0,No,Yes,No,12.0,1.0,Low,1.0,52.0,Yes,Yes
4584,Dachshund,,Female,11.0,76.0,,,Home_cooked,Special,1.0,Yes,Yes,No,10.0,1.0,Moderate,3.0,60.0,Yes,Yes
4585,Great_Dane,Large,Female,10.0,67.0,Spayed,Low,Wet_food,,3.0,No,Yes,Yes,13.0,1.0,Low,1.0,45.0,Yes,No
4586,Australian_Shepherd,Medium,Female,5.0,66.0,Spayed,Moderate,Home_cooked,Special,5.0,No,Yes,No,,1.0,Very_Active,2.0,70.0,Yes,Yes
4587,Siberian_Husky,Medium,Male,7.0,42.0,Spayed,Low,Special_diet,Wellness,5.0,,Yes,No,12.0,1.0,Active,0.0,43.0,Yes,Yes
4588,Golden_Retriever,Large,Female,1.0,61.0,Neutered,Active,Special_diet,Iams,3.0,No,Yes,No,10.0,1.0,Active,0.0,62.0,Yes,Yes
4589,Poodle,Small,Female,6.0,45.0,Neutered,Moderate,Special_diet,Hills_Science,3.0,No,Yes,Yes,11.0,3.0,Low,2.0,90.0,Yes,Yes
4590,Yorkshire_Terrier,Small,Male,8.0,22.0,,,Home_cooked,Special,6.0,No,Yes,No,10.0,2.0,,0.0,77.0,Yes,No
4591,Chihuahua,Small,Male,8.0,57.0,Spayed,Low,Wet_food,Iams,1.0,No,No,No,12.0,3.0,Very_Active,1.0,49.0,Yes,Yes
4592,Great_Dane,Large,Female,,63.0,Spayed,Low,Hard_food,Hills_Science,4.0,No,Yes,No,12.0,1.0,Active,3.0,57.0,Yes,Yes
4593,Australian_Shepherd,Medium,Female,1.0,53.0,Spayed,,Hard_food,Wellness,3.0,No,No,No,11.0,2.0,Low,0.0,70.0,Yes,No
4594,Dachshund,Small,,10.0,55.0,,Low,Home_cooked,Special,5.0,,Yes,No,13.0,,Low,2.0,60.0,Yes,No
4595,Great_Dane,Large,Female,4.0,31.0,,Active,Wet_food,Hills_Science,2.0,Yes,No,No,13.0,0.0,Low,1.0,74.0,Yes,Yes
4596,Doberman,,Female,10.0,42.0,Spayed,,Home_cooked,Special,4.0,No,No,No,9.0,4.0,,1.0,56.0,Yes,Yes
4597,Rottweiler,Large,Male,7.0,39.0,Spayed,Low,Hard_food,Royal_Canin,3.0,No,No,No,9.0,,Low,2.0,70.0,Yes,Yes
4598,Rottweiler,Large,,11.0,66.0,Spayed,,Hard_food,Nutro,2.0,Yes,Yes,No,11.0,2.0,Active,2.0,73.0,,No
4599,Boxer,Medium,Male,10.0,70.0,Neutered,Very_Active,Special_diet,Hills_Science,2.0,No,Yes,No,12.0,3.0,Very_Active,1.0,59.0,Yes,Yes
4600,Labrador_Retriever,Large,Male,2.0,53.0,,Moderate,Special_diet,Royal_Canin,6.0,No,Yes,No,8.0,2.0,,1.0,54.0,Yes,Yes
4601,German_Shepherd,Large,Female,3.0,70.0,Neutered,,Home_cooked,Special,1.0,Yes,Yes,No,12.0,0.0,Moderate,3.0,51.0,Yes,Yes
4602,Chihuahua,Small,Female,1.0,60.0,Spayed,Low,Wet_food,Wellness,3.0,No,Yes,No,11.0,2.0,Active,2.0,78.0,Yes,No
4603,Bulldog,Medium,Female,11.0,45.0,,,Wet_food,Wellness,0.0,Yes,No,No,8.0,1.0,Active,2.0,60.0,Yes,No
4604,Doberman,Large,Female,7.0,35.0,Neutered,,Home_cooked,Special,2.0,No,Yes,No,9.0,2.0,Moderate,2.0,71.0,Yes,Yes
4605,Labrador_Retriever,Large,Female,4.0,81.0,Spayed,,Home_cooked,Special,3.0,Yes,No,No,12.0,2.0,Low,4.0,67.0,Yes,Yes
4606,Yorkshire_Terrier,Small,Male,3.0,62.0,,,Home_cooked,Special,3.0,Yes,No,No,12.0,,Very_Active,1.0,44.0,Yes,Yes
4607,Australian_Shepherd,Medium,Female,2.0,40.0,Spayed,Moderate,Wet_food,Iams,6.0,No,Yes,No,12.0,1.0,Moderate,1.0,53.0,Yes,Yes
